Diminished_Seventh_Simultaneity_Prevalence,Diminished_Triad_Simultaneity_Prevalence,Dominant_Seventh_Simultaneity_Prevalence,Ends_With_Landini_Melodic_Contour,Major_Triad_Simultaneity_Prevalence,Minor_Triad_Simultaneity_Prevalence,Most_Common_Note_Quarter_Length,Most_Common_Note_Quarter_Length_Prevalence,Most_Common_Pitch_Class_Set_Simultaneity_Prevalence,Most_Common_Set_Class_Simultaneity_Prevalence,Range_of_Note_Quarter_Lengths,Tonal_Certainty,Triad_Simultaneity_Prevalence,Unique_Note_Quarter_Lengths,Unique_Pitch_Class_Set_Simultaneities,Unique_Set_Class_Simultaneities,Amount_of_Arpeggiation,Average_Melodic_Interval,Average_Note_Duration,Average_Number_of_Independent_Voices,Average_Time_Between_Attacks,Average_Time_Between_Attacks_For_Each_Voice,Average_Variability_of_Time_Between_Attacks_For_Each_Voice,Changes_of_Meter,Chromatic_Motion,Direction_of_Motion,Distance_Between_Most_Common_Melodic_Intervals,Duration,Duration_of_Melodic_Arcs,Importance_of_Bass_Register,Importance_of_High_Register,Importance_of_Middle_Register,Initial_Time_Signature_0,Initial_Time_Signature_1,Interval_Between_Strongest_Pitch_Classes,Variability_of_Number_of_Independent_Voices,Interval_Between_Strongest_Pitches,Maximum_Note_Duration,Variability_of_Time_Between_Attacks,Melodic_Fifths,Melodic_Octaves,Melodic_Thirds,Melodic_Tritones,Minimum_Note_Duration,Most_Common_Melodic_Interval,Most_Common_Melodic_Interval_Prevalence,Most_Common_Pitch_Class,Most_Common_Pitch_Class_Prevalence,Most_Common_Pitch,Most_Common_Pitch_Prevalence,Note_Density,Number_of_Common_Melodic_Intervals,Number_of_Common_Pitches,Pitch_Class_Variety,Pitch_Variety,Primary_Register,Quality,Quintuple_Meter,Range,Relative_Strength_of_Most_Common_Intervals,Relative_Strength_of_Top_Pitch_Classes,Relative_Strength_of_Top_Pitches,Repeated_Notes,Size_of_Melodic_Arcs,Staccato_Incidence,Stepwise_Motion,Triple_Meter,Variability_of_Note_Duration,Grade
0.0,0.0379746835443038,0.012658227848101266,0,0.25316455696202533,0.26582278481012656,0.5,0.562962962962963,0.08860759493670886,0.379746835443038,2.75,1.1673194383871344,0.35443037974683544,4,45,16,0.3181818181818182,5.106060606060606,0.6388888888888892,0.0,0.5235042735042735,0.50808599695586,0.24678688874520113,0,0.10606060606060606,0.45528455284552843,1,43.333333333333336,1.835820895522388,0.16831683168316833,0.1188118811881188,0.7128712871287128,4,4,7,0.0,2,2.5,0.28452722191422614,0.07575757575757576,0.045454545454545456,0.09090909090909091,0.015151515151515152,0.20833333333333334,2,0.30303030303030304,4,0.18316831683168316,64,0.10891089108910891,3.1153846153846154,3,1,10,27,62.94059405940594,0,0,38,0.35,0.918918918918919,0.7272727272727273,0.045454545454545456,7.388059701492537,0.0,0.4090909090909091,0,0.3847330858206802,3
0.0,0.0392156862745098,0.11764705882352941,0,0.35294117647058826,0.09803921568627451,1.0,0.5595238095238095,0.27450980392156865,0.3137254901960784,3.5,1.5334113204088493,0.35294117647058826,6,25,16,0.42857142857142855,5.571428571428571,0.7067669172932322,0.0,0.6052631578947368,0.6655348047538201,0.37107703452863305,0,0.07142857142857142,0.5581395348837209,3,31.57894736842105,1.4333333333333333,0.1497005988023952,0.281437125748503,0.5688622754491018,3,4,5,0.0,9,2.3684210526315788,0.32283800385224465,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.15789473684210525,5,0.2857142857142857,4,0.24550898203592814,64,0.12574850299401197,2.66,4,2,10,25,65.31736526946108,0,0,52,0.5,0.7073170731707317,0.8095238095238095,0.0,15.8,0.0,0.21428571428571427,1,0.3666521906838078,3
0.0,0.0,0.08333333333333333,0,0.3611111111111111,0.08888888888888889,1.0,0.6370370370370371,0.12777777777777777,0.2611111111111111,2.5,1.05637869624262,0.2611111111111111,4,38,20,0.5135135135135135,2.7905405405405403,0.5488888888888876,0.0,0.4617977528089887,0.5581702080196308,0.4919981007305147,0,0.18243243243243243,0.529126213592233,2,84.6,1.823008849557522,0.15,0.2619047619047619,0.5880952380952381,3,4,7,0.0,5,1.7999999999999998,0.22057413234583678,0.04054054054054054,0.006756756756756757,0.17567567567567569,0.0,0.3,0,0.2702702702702703,9,0.21666666666666667,57,0.11428571428571428,3.191489361702128,4,2,9,27,64.25714285714285,0,0,39,0.825,0.989010989010989,0.875,0.2702702702702703,9.176991150442477,0.0,0.40540540540540543,1,0.23249585154934338,3
0.0,0.0,0.01048951048951049,0,0.14335664335664336,999999999999999,0.5,0.8641686182669789,0.10839160839160839,0.2097902097902098,1.5,1.6014472068606245,0.01048951048951049,4,47,13,0.5012224938875306,4.762836185819071,0.39203747072599604,0.0,0.30947368421052635,0.4045014330621302,0.26824184826388053,0,0.09290953545232274,0.5205811138014528,1,89.4,1.699588477366255,0.14855875831485588,0.188470066518847,0.6629711751662971,6,8,3,0.0,12,1.2,0.0883458326667678,0.07579462102689487,0.08801955990220049,0.29095354523227385,0.04156479217603912,0.3,2,0.23227383863080683,4,0.25942350332594233,64,0.1352549889135255,4.776286353467561,4,3,12,34,63.567627494456765,0,0,46,0.6315789473684211,0.7094017094017094,0.7704918032786885,0.007334963325183374,8.23045267489712,0.0,0.3251833740831296,0,0.2517988091356418,6
0.0,0.0,0.0,0,0.32989690721649484,0.08247422680412371,1.0,0.47019867549668876,0.13402061855670103,0.3917525773195876,1.75,1.0996809414968816,0.36082474226804123,5,29,15,0.44871794871794873,2.9743589743589745,0.5841059602649004,0.0,0.43749999999999994,0.5527777777777777,0.24923488183904394,0,0.05128205128205128,0.5210084033613446,1,44.4,2.0517241379310347,0.4009433962264151,0.10377358490566038,0.49528301886792453,3,4,4,0.0,16,1.2,0.1883314896664919,0.05128205128205128,0.0,0.2692307692307692,0.01282051282051282,0.15,2,0.358974358974359,3,0.24528301886792453,51,0.1179245283018868,3.400900900900901,4,1,7,24,58.575471698113205,0,0,40,0.5,0.7307692307692307,0.6,0.11538461538461539,6.155172413793103,0.0,0.41025641025641024,1,0.3025482754389748,3
0.0,0.0,0.05128205128205128,0,0.38461538461538464,0.358974358974359,1.0,0.8082191780821918,0.20512820512820512,0.6410256410256411,1.5,1.5168614019848663,0.6410256410256411,3,17,9,0.3333333333333333,3.111111111111111,0.9863013698630136,0.0,0.8947368421052632,0.7150793650793651,0.18813328447415675,0,0.2777777777777778,0.42857142857142855,1,36.0,2.074074074074074,0.23809523809523808,0.03968253968253968,0.7222222222222222,4,4,5,0.0,7,2.0,0.28464878490505174,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.5,1,0.2777777777777778,2,0.2222222222222222,62,0.11904761904761904,2.0277777777777777,3,2,9,22,60.198412698412696,1,0,31,1.0,1.0,0.9333333333333333,0.1111111111111111,5.111111111111111,0.0,0.5555555555555556,0,0.2980829472190266,3
0.12903225806451613,0.0,0.03225806451612903,0,0.0,0.12903225806451613,0.25,0.46875,0.12903225806451613,0.6370967741935484,1.25,1.0221144635049368,0.12903225806451613,4,23,8,0.08433734939759036,2.3132530120481927,0.279296875,0.0,0.18902439024390244,0.39460920177383596,0.3037832930728259,0,0.3373493975903614,0.2903225806451613,1,24.75,2.90625,0.06074766355140187,0.1542056074766355,0.7850467289719626,6,8,7,0.0,5,0.75,0.062481407109509744,0.012048192771084338,0.024096385542168676,0.04819277108433735,0.024096385542168676,0.125,2,0.5180722891566265,9,0.18691588785046728,62,0.11682242990654206,5.171717171717172,2,1,12,32,65.18691588785046,1,0,53,0.6511627906976744,0.85,0.72,0.0,7.0,0.0,0.8554216867469879,0,0.22343442688009021,6
0.0,0.0625,0.0,0,0.475,0.1875,1.0,0.46715328467153283,0.175,0.375,1.5,1.554117320147391,0.4375,4,28,11,0.2911392405063291,6.6455696202531644,0.7664233576642336,0.0,0.6434599156118144,0.6119241490610329,0.29837736649569097,0,0.08860759493670886,0.4666666666666667,3,52.5,1.6666666666666667,0.21761658031088082,0.03626943005181347,0.7461139896373057,3,4,5,0.0,5,1.6666666666666667,0.3301367585343631,0.0759493670886076,0.0,0.10126582278481013,0.06329113924050633,0.4166666666666667,2,0.20253164556962025,2,0.21761658031088082,62,0.13989637305699482,2.6095238095238096,2,2,8,21,61.0,0,0,32,0.5625,0.9523809523809523,0.8148148148148148,0.0379746835443038,8.305555555555555,0.0,0.2911392405063291,1,0.38086311570076864,3
0.0,0.0,0.0,0,0.41025641025641024,0.38461538461538464,0.5,0.38333333333333336,0.28205128205128205,0.3076923076923077,2.5,1.379250452670287,0.2564102564102564,4,11,5,0.631578947368421,1.868421052631579,0.6,0.0,0.44999999999999996,0.5703667953667954,0.22487727968885812,0,0.05263157894736842,0.3333333333333333,2,17.999999999999996,1.8333333333333333,0.2839506172839506,0.0,0.7160493827160493,6,8,3,0.0,12,1.7999999999999998,0.17881186820378095,0.02631578947368421,0.0,0.21052631578947367,0.0,0.3,0,0.39473684210526316,7,0.345679012345679,55,0.18518518518518517,3.333333333333334,3,3,7,19,58.111111111111114,0,0,36,0.6,0.5357142857142857,0.7333333333333333,0.39473684210526316,5.277777777777778,0.0,0.2894736842105263,0,0.29495762407505244,3
0.0,0.0,0.029411764705882353,0,0.5882352941176471,0.11764705882352941,1.0,0.7833333333333333,0.3235294117647059,0.5588235294117647,1.5,1.3423323272542838,0.5588235294117647,3,14,9,0.5714285714285714,3.2857142857142856,0.5333333333333333,0.0,0.45454545454545453,0.5228365384615384,0.14969974567369815,0,0.14285714285714285,0.4583333333333333,1,16.0,2.1818181818181817,0.17543859649122806,0.06140350877192982,0.7631578947368421,4,4,5,0.0,4,1.0,0.09642365197998376,0.0,0.0,0.2857142857142857,0.0,0.25,0,0.2857142857142857,7,0.2543859649122807,67,0.14912280701754385,3.75,6,4,7,20,62.18421052631579,0,0,33,0.5,0.7241379310344828,0.7058823529411765,0.2857142857142857,5.863636363636363,0.0,0.2857142857142857,0,0.18521758975744057,3
0.0,0.0,0.0013297872340425532,0,0.02925531914893617,0.018617021276595744,0.5,0.5235707121364093,0.061170212765957445,0.23803191489361702,2.75,1.3833406526062482,0.006648936170212766,8,81,30,0.26140567200986436,2.9827373612823673,0.15706046711563243,0.0,0.12253273402384209,0.39457976521295296,0.4832524443913694,0,0.31442663378545005,0.4487320837927233,1,89.78571428571428,1.7889546351084813,0.12720306513409962,0.31877394636015327,0.5540229885057472,3,4,3,0.0,21,0.6428571428571428,0.10004990244994698,0.04192355117139334,0.02096177558569667,0.1504315659679408,0.009864364981504316,0.05357142857142857,2,0.3205918618988903,8,0.25440613026819925,56,0.11570881226053639,11.104216388225936,2,1,12,50,66.50574712643679,0,0,65,0.9807692307692307,0.6295180722891566,0.6026490066225165,0.025893958076448828,9.996055226824458,0.07622868605817452,0.6350184956843403,1,0.09218196046394972,6
0.0,0.00398406374501992,0.0,0,0.2350597609561753,0.22709163346613545,0.25,0.5,0.07171314741035857,0.20717131474103587,3.75,1.541439402459004,0.055776892430278883,6,59,15,0.282798833819242,3.3469387755102042,0.2943072955047907,0.0,0.20869565217391306,0.26783177038931516,0.15769146050692165,0,0.19825072886297376,0.47181008902077154,1,54.78260869565218,1.6683168316831682,0.12568306010928962,0.3633879781420765,0.5109289617486339,4,4,5,0.0,3,2.608695652173913,0.07464471614517122,0.02040816326530612,0.03498542274052478,0.18075801749271136,0.0,0.16304347826086957,2,0.34402332361516036,2,0.18032786885245902,74,0.10382513661202186,6.461904761904761,4,1,12,37,66.48360655737704,1,0,44,0.576271186440678,0.8939393939393939,0.6842105263157895,0.037900874635568516,5.698019801980198,0.0,0.5422740524781341,0,0.2350218014307661,6
0.0,0.0029282576866764276,0.0,0,0.21522693997071743,0.15226939970717424,0.5,0.37037037037037035,0.0746705710102489,0.16398243045387995,3.75,1.2566391000482398,0.11127379209370425,8,84,22,0.2604166666666667,3.0393518518518516,0.4387345679012367,0.0,0.32419354838709674,0.4325140701981516,0.41342201769968123,0,0.21412037037037038,0.46681175190424373,1,223.5,2.042222222222222,0.25736568457538994,0.20537261698440207,0.537261698440208,2,2,7,0.0,4,2.4,0.3702080069422112,0.06365740740740741,0.017361111111111112,0.11226851851851852,0.006944444444444444,0.15,2,0.4085648148148148,3,0.18977469670710573,67,0.07538994800693241,4.348993288590604,2,0,12,46,62.3578856152513,0,0,57,0.5240793201133145,0.9041095890410958,0.9655172413793104,0.04861111111111111,6.724444444444444,0.0,0.6226851851851852,0,0.3887157597673137,6
